name,team,position,rank,non_ppr,BYE
Mason Taylor,NYJ,TE28,144,55,9.0
Tyjae Spears,TEN,RB39,145,98,10.0
Tyler Bass,BUF,K5,146,67,7.0
Tre Harris,LAC,WR64,147,84,12.0
Matt Gay,WAS,K6,148,66,12.0
Emeka Egbuka,TB,WR65,149,80,9.0
Javonte Williams,DAL,RB40,150,127,10.0
Dak Prescott,DAL,QB12,151,278,10.0
Tyler Loop,BAL,K7,152,83,7.0
Austin Ekeler,WAS,RB41,153,101,12.0
Harrison Butker,KC,K8,154,74,10.0
Justin Fields,NYJ,QB13,155,295,9.0
Xavier Legette,CAR,WR66,156,76,14.0
Cole Kmet,CHI,TE29,157,58,5.0
Jake Elliott,PHI,K9,158,65,9.0
Kyle Williams,NE,WR67,159,59,14.0
Theo Johnson,NYG,TE30,160,59,14.0
Diontae Johnson,CLE,WR68,161,73,9.0
Jalen McMillan,TB,WR69,162,72,9.0
Trevor Lawrence,JAC,QB14,163,285,8.0
Jalen Coker,CAR,WR70,164,69,14.0
Drake Maye,NE,QB15,165,281,14.0
Michael Wilson,ARI,WR71,166,83,8.0
Chase McLaughlin,TB,K10,167,63,9.0
Rachaad White,TB,RB42,168,89,9.0
Rhamondre Stevenson,NE,RB43,169,119,14.0
Jared Goff,DET,QB17,170,281,8.0
Brock Purdy,SF,QB16,171,296,14.0
Zach Charbonnet,SEA,RB44,172,92,8.0
Marvin Mims Jr.,DEN,WR72,173,91,12.0
Adam Thielen,CAR,WR73,174,92,14.0
Cedric Tillman,CLE,WR74,175,83,9.0
Cam Little,JAC,K11,176,59,8.0
Bhayshul Tuten,JAC,RB45,177,59,8.0
Chad Ryland,ARI,K12,178,65,8.0
Alec Pierce,IND,WR75,179,72,11.0
Tyler Allgeier,ATL,RB46,180,86,5.0
Jordan Love,GB,QB18,181,272,5.0
Jason Sanders,MIA,K13,182,59,12.0
Darius Slayton,NYG,WR76,183,70,14.0
Cameron Dicker,LAC,K14,184,69,12.0
C.J. Stroud,HOU,QB19,185,277,6.0
Mike Williams,LAC,WR77,186,65,12.0
Elijah Arroyo,SEA,TE31,187,23,8.0
Terrance Ferguson,LAR,TE32,188,27,8.0
Jake Moody,SF,K15,189,59,14.0
Isaac Guerendo,SF,RB47,190,85,14.0
Ja'Tavion Sanders,CAR,TE33,191,52,14.0
Ray Davis,BUF,RB48,192,77,7.0
Tua Tagovailoa,MIA,QB20,193,269,12.0
Jaylen Wright,MIA,RB49,194,70,12.0
Jaydon Blue,DAL,RB50,195,61,10.0
Trey Benson,ARI,RB51,196,79,8.0
J.J. McCarthy,MIN,QB21,197,283,6.0
Dustin Hopkins,CLE,K16,198,53,9.0
Christian Watson,GB,WR78,199,71,5.0
Joshua Karty,LAR,K17,200,58,8.0
