"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"172","Chris Conley (FA)","3","6","69","23.0","48","1","0","0","0","0","0","8","6.9","0.9","0.0%"
"173","Tyler Johnson (NYJ)","2","3","8","4.0","8","0","1","0","0","0","0","1","6.8","6.8","0.6%"
"174","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","6.4","0.9","0.8%"
"175","Equanimeous St. Brown (FA)","5","6","62","12.4","21","1","0","0","0","0","0","7","6.2","0.9","0.0%"
"176","Rakim Jarrett (TB)","4","9","60","15.0","41","1","0","1","0","0","0","10","6.0","0.6","1.0%"
"177","DeAndre Carter (CLE)","4","7","39","9.8","16","0","0","3","18","0","0","17","5.7","0.3","0.1%"
"178","Isaiah McKenzie (FA)","11","14","82","7.5","30","1","0","3","14","0","2","13","5.6","0.4","0.0%"
"179","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","5.3","0.5","0.0%"
"180","Michael Strachan (WAS)","1","3","45","45.0","45","1","0","0","0","0","0","4","4.5","1.1","0.0%"
"181","Britain Covey (FA)","4","6","42","10.5","22","1","0","0","0","0","0","16","4.2","0.3","0.0%"
"182","Elijah Cooks (PHI)","3","4","38","12.7","23","1","0","0","0","0","0","9","3.8","0.4","3.1%"
"183","Keelan Doss (FA)","6","13","33","5.5","9","0","0","0","0","0","0","5","3.3","0.7","6.0%"
"184","Devin Duvernay (CHI)","4","9","18","4.5","10","0","0","4","15","0","0","13","3.3","0.3","0.2%"
"185","Trishton Jackson (ARI)","2","4","9","4.5","7","0","0","0","0","0","0","6","2.9","0.5","0.0%"
"186","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","2.9","0.5","11.9%"
"187","Steven Sims Jr. (SEA)","3","3","25","8.3","23","1","0","1","1","0","0","3","2.6","0.9","0.1%"
"188","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.1%"
"189","Gunner Olszewski (FA)","1","1","0","0.0","0","0","0","0","0","0","2","12","2.0","0.2","0.0%"
"190","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","1.9","0.4","26.1%"
"191","Zach Pascal (NYG)","4","15","19","4.8","9","0","0","0","0","0","0","14","1.9","0.1","0.1%"
"192","Miles Boykin (CHI)","3","4","17","5.7","6","0","0","0","0","0","0","16","1.7","0.1","6.0%"
"193","Laquon Treadwell (IND)","1","3","16","16.0","16","0","0","0","0","0","0","4","1.6","0.4","6.0%"
"194","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","1.5","0.3","0.0%"
"195","Willie Snead IV (FA)","2","3","14","7.0","9","0","0","0","0","0","0","4","1.4","0.4","3.1%"
"196","Malik Taylor (FA)","2","4","13","6.5","7","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"197","Collin Johnson (FA)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"198","Cody Thompson (TB)","1","1","10","10.0","10","0","0","0","0","0","0","6","1.0","0.2","6.0%"
"199","Austin Trammell (JAC)","4","7","29","7.3","14","0","0","0","0","0","1","15","0.9","0.1","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.1%"
"201","Dee Eskridge (MIA)","0","1","0","0","0","0","0","2","5","0","0","4","0.5","0.1","3.1%"
"202","Colton Dowell (TEN)","1","2","3","3.0","3","0","0","0","0","0","0","9","0.3","0.0","0.0%"
"203","Kwamie Lassiter II (FA)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","6.0%"
"204","Antoine Green (DET)","1","2","2","2.0","2","0","0","0","0","0","0","9","0.2","0.0","0.1%"
"205","Dax Milne (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","Jaelon Darden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"208","Kearis Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"209","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"211","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"212","Amari Rodgers (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"213","Easop Winston Jr. (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Marquez Callaway (TB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"216","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.4%"
"217","Chase Cota (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"219","Isaiah Winstead (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Shedrick Jackson (LV)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"221","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"222","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"223","Tay Martin (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"224","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Jalen Virgil (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.1%"
"227","DJ Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
