"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"109","Deuce Vaughn (DAL)","23","40","1.7","13","0","0","7","7","40","5.7","0","0","7","8.0","1.1","3.2%"
"110","Trayveon Williams (FA)","15","69","4.6","15","0","0","7","9","10","1.4","0","0","17","7.9","0.5","3.1%"
"111","Eric Gray (NYG)","17","48","2.8","12","0","0","6","7","22","3.7","0","0","14","7.0","0.5","1.7%"
"112","Gary Brightwell (CIN)","9","19","2.1","5","0","0","5","7","47","9.4","0","0","4","6.6","1.7","0.1%"
"113","Mike Boone (FA)","5","23","4.6","11","0","0","7","9","40","5.7","0","0","9","6.3","0.7","1.0%"
"114","Damien Williams (FA)","11","43","3.9","9","0","0","2","2","12","6.0","0","0","3","5.5","1.8","0.1%"
"115","Ty Montgomery II (FA)","3","9","3.0","7","0","0","5","12","40","8.0","0","0","13","4.9","0.4","0.0%"
"116","Ke'Shawn Vaughn (FA)","24","42","1.8","9","0","0","2","5","2","1.0","0","0","5","4.4","0.9","0.0%"
"117","Leonard Fournette (FA)","12","40","3.3","9","0","0","0","0","0","0","0","0","2","4.0","2.0","0.1%"
"118","Rashaad Penny (FA)","11","33","3.0","7","0","0","1","1","5","5.0","0","0","3","3.8","1.3","0.0%"
"119","Michael Burton (DEN)","7","9","1.3","4","0","0","3","3","8","2.7","0","0","17","3.7","0.2","3.1%"
"120","Keith Smith (FA)","0","0","0","0","0","0","3","3","33","11.0","0","0","13","3.3","0.3","0.0%"
"121","C.J. Ham (MIN)","1","7","7.0","7","0","0","7","9","25","3.6","0","0","17","3.2","0.2","0.6%"
"122","Sean Tucker (TB)","15","23","1.5","7","0","0","2","2","9","4.5","0","0","5","3.2","0.6","10.4%"
"123","Khari Blasingame (FA)","8","26","3.3","6","0","0","3","6","2","0.7","0","0","16","2.8","0.2","0.0%"
"124","Derrick Gore (FA)","3","26","8.7","23","1","0","0","0","0","0","0","0","5","2.6","0.5","0.0%"
"125","Jake Funk (FA)","2","10","5.0","7","0","0","1","1","12","12.0","0","0","1","2.2","2.2","0.0%"
"126","DeeJay Dallas (ARI)","10","36","3.6","8","0","0","6","9","26","4.3","0","2","17","2.2","0.1","0.1%"
"127","Zonovan Knight (NYJ)","3","13","4.3","8","0","0","1","1","8","8.0","0","0","2","2.1","1.1","0.0%"
"128","Tyrion Davis-Price (PHI)","6","21","3.5","15","0","0","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"129","Elijah Dotson (ATL)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","4","1.9","0.5","0.0%"
"130","Zach Evans (NYJ)","9","19","2.1","5","0","0","0","0","0","0","0","0","4","1.9","0.5","0.7%"
"131","Jashaun Corbin (FA)","1","1","1.0","1","0","0","3","3","12","4.0","0","0","3","1.3","0.4","0.0%"
"132","Alex Armah Jr. (FA)","0","0","0","0","0","0","3","3","13","4.3","0","0","7","1.3","0.2","0.0%"
"133","Kene Nwangwu (NYJ)","5","13","2.6","8","0","0","0","0","0","0","0","0","8","1.3","0.2","0.0%"
"134","Devine Ozigbo (FA)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","2","1.3","0.7","1.0%"
"135","Jakob Johnson (HOU)","0","0","0","0","0","0","1","2","12","12.0","0","0","13","1.2","0.1","0.0%"
"136","Jonathan Ward (PIT)","3","11","3.7","8","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"137","Chris Evans (FA)","2","12","6.0","7","0","0","1","1","-1","-1.0","0","0","7","1.1","0.2","0.0%"
"138","Kenyan Drake (FA)","2","0","0.0","0","0","0","2","3","31","15.5","0","1","3","1.1","0.4","1.1%"
"139","Anthony McFarland Jr. (FA)","0","0","0","0","0","0","2","2","11","5.5","0","0","3","1.1","0.4","1.1%"
"140","Evan Hull (PIT)","1","1","1.0","1","0","0","1","1","6","6.0","0","0","1","0.7","0.7","1.9%"
"141","Adam Prentice (FA)","2","12","6.0","7","0","0","2","3","12","6.0","0","1","13","0.4","0.0","6.0%"
"142","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","3","3.0","0","0","16","0.3","0.0","3.1%"
"143","James Robinson (FA)","1","2","2.0","2","0","0","1","1","-2","-2.0","0","0","1","0.0","0.0","0.0%"
"144","JaMycal Hasty (FA)","0","0","0","0","0","0","0","2","0","0","0","0","2","0.0","0.0","0.6%"
"145","Austin Walter (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"146","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Mohamed Ibrahim (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Brittain Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"149","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.3%"
"150","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
