Player,Team,actual_Rank,actual_CMP(Passing),actual_ATT(Passing),actual_PCT(Passing),actual_YDS(Passing),actual_Y/A(Passing),actual_TD(Passing),actual_INT,actual_SACKS,actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Passing),projections_CMP(Passing),projections_YDS(Passing),projections_TD(Passing),projections_INTS,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS
Derek Carr,NO,26.0,189.0,279.0,67.7,2145,7.7,15.0,5.0,8.0,17.0,71.0,1.0,0.0,10.0,156.0,15.6,35.4,544.4,363.5,3842.4,24.5,10.9,24.7,71.1,0.5,3.2,244.2
Trevor Lawrence,JAC,27.0,172.0,284.0,60.6,2045,7.2,11.0,7.0,18.0,26.0,119.0,3.0,1.0,10.0,152.2,15.2,46.1,566.4,373.5,3985.7,24.4,12.5,66.4,306.4,3.5,4.8,286.2
Jameis Winston,NYG,28.0,181.0,296.0,61.1,2121,7.2,13.0,12.0,24.0,25.0,83.0,1.0,2.0,12.0,143.2,11.9,31.6,60.5,37.6,423.9,2.5,2.0,5.8,21.6,0.1,0.2,27.0
Daniel Jones,IND,29.0,216.0,341.0,63.3,2070,6.1,8.0,7.0,29.0,67.0,265.0,2.0,2.0,10.0,142.3,14.2,30.3,494.0,322.4,3227.2,16.6,10.6,95.0,469.1,3.5,3.6,245.5
Will Levis,TEN,30.0,190.0,301.0,63.1,2091,6.9,13.0,12.0,41.0,45.0,183.0,0.0,6.0,12.0,132.0,11.0,28.1,513.3,323.4,3728.6,22.2,12.4,53.8,185.2,2.2,4.2,249.2
Dak Prescott,DAL,31.0,185.0,286.0,64.7,1978,6.9,11.0,8.0,21.0,13.0,54.0,1.0,1.0,8.0,124.5,15.6,50.1,572.5,385.0,4181.0,30.5,12.0,51.9,221.7,2.0,2.8,306.1
Justin Fields,NYJ,32.0,106.0,161.0,65.8,1106,6.9,5.0,1.0,16.0,62.0,289.0,5.0,1.0,10.0,120.1,12.0,58.5,98.9,60.7,761.3,4.1,3.1,38.8,219.5,1.6,1.8,71.4
Cooper Rush,BAL,33.0,187.0,308.0,60.7,1844,6.0,12.0,5.0,13.0,26.0,18.0,0.0,3.0,12.0,114.6,9.6,2.3,48.2,30.6,298.8,2.0,1.3,5.7,11.0,0.1,0.2,19.7
Gardner Minshew II,KC,34.0,203.0,306.0,66.3,2013,6.6,9.0,10.0,29.0,19.0,58.0,0.0,4.0,10.0,106.5,10.7,13.4,413.3,259.2,2792.8,16.1,10.3,34.0,123.5,1.8,2.9,182.8
Joe Flacco,CLE,35.0,162.0,248.0,65.3,1761,7.1,12.0,7.0,18.0,9.0,26.0,0.0,4.0,8.0,106.2,13.3,16.9,48.9,30.7,317.6,1.8,1.1,5.0,13.3,0.0,0.5,19.4
Mason Rudolph,PIT,36.0,146.0,228.0,64.0,1530,6.7,9.0,9.0,11.0,25.0,106.0,1.0,1.0,8.0,104.8,13.1,6.9,44.0,27.1,281.0,1.7,1.2,4.9,14.5,0.0,0.2,18.0
Mac Jones,SF,37.0,171.0,262.0,65.3,1672,6.4,8.0,8.0,14.0,28.0,92.0,1.0,2.0,10.0,104.1,10.4,11.4,46.9,31.5,293.7,1.7,0.9,5.4,18.9,0.0,0.1,19.3
Aidan O'Connell,LV,38.0,154.0,243.0,63.4,1612,6.6,8.0,4.0,10.0,21.0,30.0,1.0,2.0,9.0,97.7,10.9,10.2,202.4,127.8,1242.7,6.5,4.6,18.1,36.6,0.3,1.0,74.9
Drew Lock,SEA,39.0,107.0,181.0,59.1,1071,5.9,6.0,5.0,12.0,18.0,133.0,2.0,2.0,7.0,85.1,12.2,3.5,74.1,46.4,505.0,3.3,1.8,7.9,24.9,0.1,0.6,33.9
Deshaun Watson,CLE,40.0,137.0,216.0,63.4,1148,5.3,5.0,3.0,33.0,31.0,148.0,1.0,3.0,7.0,79.6,11.4,19.4,544.6,334.3,3747.3,23.0,13.3,77.1,385.2,3.2,3.8,278.3
