Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS,ADP
Jauan Jennings,SF,27.0,77.0,113.0,975,12.7,45.0,12.0,6.0,0.0,0.0,0.0,0.0,15.0,133.5,8.9,56.4,24.8,302.9,2.0,0.0,3.3,0.0,0.1,42.3,0.0
DeVonta Smith,PHI,28.0,68.0,89.0,833,12.3,49.0,14.0,8.0,1.0,1.0,0.0,0.0,13.0,131.4,10.1,74.8,84.8,1081.1,7.1,0.0,1.2,0.0,0.9,149.0,46.0
Jakobi Meyers,LV,29.0,87.0,129.0,1027,11.8,43.0,16.0,4.0,2.0,23.0,0.0,0.0,15.0,131.0,8.7,62.0,64.7,728.2,4.6,2.4,15.6,0.3,0.5,102.9,137.5
Rashod Bateman,BAL,30.0,45.0,72.0,756,16.8,59.0,11.0,9.0,0.0,0.0,0.0,0.0,17.0,129.6,7.6,50.1,46.2,604.9,3.5,0.3,4.5,0.0,0.2,81.5,226.0
Darnell Mooney,ATL,31.0,64.0,106.0,992,15.5,49.0,21.0,5.0,0.0,0.0,0.0,0.0,16.0,129.2,8.1,57.0,50.9,703.4,4.1,2.1,12.1,0.1,0.2,96.5,171.0
Xavier Worthy,KC,32.0,59.0,98.0,638,10.8,54.0,4.0,6.0,20.0,104.0,3.0,0.0,17.0,128.2,7.5,79.8,57.0,828.7,6.0,3.7,23.2,0.1,0.8,119.8,83.5
Puka Nacua,LAR,33.0,79.0,106.0,990,12.5,51.0,11.0,3.0,11.0,46.0,1.0,0.0,11.0,127.6,11.6,98.9,94.7,1299.0,7.2,8.9,54.7,0.2,0.7,178.1,14.5
DK Metcalf,PIT,34.0,66.0,108.0,992,15.0,71.0,20.0,5.0,0.0,0.0,0.0,2.0,15.0,125.2,8.3,69.9,73.6,1065.8,8.1,0.0,1.2,0.0,0.5,154.2,39.5
Alec Pierce,IND,35.0,37.0,69.0,824,22.3,65.0,13.0,7.0,0.0,0.0,0.0,0.0,16.0,124.4,7.8,22.7,24.1,362.6,2.0,0.0,1.3,0.0,0.1,48.4,301.0
Quentin Johnston,LAC,36.0,55.0,91.0,711,12.9,66.0,12.0,8.0,3.0,6.0,0.0,0.0,15.0,119.7,8.0,69.5,40.6,504.7,3.2,1.7,6.8,0.0,0.1,70.2,192.0
