"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Mac Jones","SF","46.9","31.5","293.7","1.7","0.9","5.4","18.9","0.0","0.1","19.3"
"Malik Willis","GB","40.8","25.1","256.0","1.9","0.9","6.9","26.1","0.1","0.3","19.2"
"Kenny Pickett","CLE","43.8","28.4","283.3","1.6","1.2","7.1","21.5","0.2","0.5","18.9"
"Marcus Mariota","WAS","42.6","26.4","272.2","1.5","1.2","6.9","30.3","0.1","0.2","18.9"
"Mason Rudolph","PIT","44.0","27.1","281.0","1.7","1.2","4.9","14.5","0.0","0.2","18.0"
"Andy Dalton","CAR","45.5","28.5","270.3","1.5","0.9","4.7","16.6","0.1","0.1","17.8"
"Easton Stick","ATL","0.0","0.0","215.0","1.0","1.0","0.0","13.0","0.0","0.0","12.9"
"Zach Wilson","MIA","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","12.7"
"Jaren Hall","SEA","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","12.6"
"Tommy DeVito","NYG","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","12.3"
"Trey Lance","LAC","24.0","15.0","177.0","1.0","1.0","5.0","18.5","0.0","0.0","11.9"
"Michael Pratt","TB","0.0","0.0","190.0","1.0","1.0","0.0","12.0","0.0","0.0","11.8"
"Jordan Travis","NYJ","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","11.5"
"Joe Milton III","DAL","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","10.3"
"Kyle Allen","DET","0.0","0.0","149.0","1.0","1.0","0.0","10.0","0.0","0.0","10.0"
"Sean Clifford","GB","0.0","0.0","154.0","1.0","1.0","0.0","8.0","0.0","0.0","10.0"
"Mike White","BUF","0.0","0.0","155.0","1.0","1.0","0.0","7.0","0.0","0.0","9.9"
"Bailey Zappe","KC","0.0","0.0","140.0","1.0","1.0","0.0","11.0","0.0","0.0","9.7"
"Jake Haener","NO","17.0","11.0","119.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"Stetson Bennett","LAR","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"Sam Hartman","WAS","0.0","0.0","100.0","1.0","0.0","0.0","7.0","0.0","0.0","8.7"
"Dorian Thompson-Robinson","PHI","25.0","14.0","121.5","0.5","0.5","5.0","21.0","0.0","0.0","8.5"
"Tanner McKee","PHI","0.0","0.0","80.0","1.0","0.0","0.0","8.0","0.0","0.0","8.0"
"Sam Ehlinger","DEN","0.0","0.0","76.0","1.0","0.0","0.0","8.0","0.0","0.0","7.8"
"Devin Leary","BAL","0.0","0.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6"
""
""
