Player,Team,actual_Rank,actual_ATT(Rushing),actual_YDS(Rushing),actual_Y/A(Rushing),actual_LG(Rushing),actual_20+(Rushing),actual_TD(Rushing),actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_TD(Recieving),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
Evan Hull,PIT,157.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9,0.0,134.0,1.0,8.0,59.0,1.0,0.0,31.3,308.0
Emani Bailey,CAR,165.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,18.0,0.0,0.0,6.5,0.0
Jawhar Jordan,HOU,166.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,121.0,1.0,4.0,27.0,0.0,0.0,20.8,0.0
Keaontay Ingram,KC,167.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,30.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0
Zach Evans,NYJ,169.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,32.0,0.0,1.0,9.0,0.0,0.0,4.1,0.0
Avery Williams,PHI,170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.6,7.6,35.0,0.4,3.9,23.1,0.1,0.0,9.1,0.0
Keilan Robinson,JAC,175.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,0.0,33.0,0.0,2.0,15.0,0.0,0.0,4.8,0.0
Israel Abanikanda,SF,176.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.9,57.4,0.3,2.7,19.0,0.1,0.1,10.1,0.0
Malik Davis,DAL,183.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,55.0,0.0,3.0,23.0,0.0,0.0,7.8,0.0
Dylan Laube,LV,204.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,-2.0,-0.3,3.5,27.0,145.4,1.1,7.7,57.2,0.1,0.0,27.5,263.5
