"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"53","Wan'Dale Robinson (NYG)","93","140","699","7.5","35","4","3","3","18","0","0","17","89.7","5.3","47.6%"
"54","Tank Dell (HOU)","51","81","667","13.1","50","9","3","9","43","0","0","14","89.0","6.4","38.5%"
"55","Allen Lazard (NYJ)","37","60","530","14.3","52","8","6","0","0","0","0","12","89.0","7.4","5.2%"
"56","Chris Godwin (TB)","50","62","576","11.5","55","7","5","1","2","0","0","7","87.8","12.5","76.5%"
"57","Romeo Doubs (GB)","46","72","601","13.1","39","8","4","0","0","0","0","13","86.1","6.6","42.8%"
"58","Andrei Iosivas (CIN)","36","61","479","13.3","39","7","6","0","0","0","0","17","83.9","4.9","27.9%"
"59","Calvin Austin III (PIT)","36","58","548","15.2","55","10","4","0","0","0","1","17","82.8","4.9","11.2%"
"60","Keon Coleman (BUF)","29","57","556","19.2","64","12","4","1","9","0","0","13","82.5","6.3","84.9%"
"61","Tre Tucker (LV)","47","81","539","11.5","58","6","3","9","44","1","0","17","82.3","4.8","21.2%"
"62","DeMario Douglas (NE)","66","87","621","9.4","36","8","3","3","16","0","0","17","81.7","4.8","36.3%"
"63","Kayshon Boutte (NE)","43","68","589","13.7","48","11","3","0","0","0","0","15","80.9","5.4","26.1%"
"64","Amari Cooper (FA)","44","85","547","12.4","30","8","4","0","0","0","0","14","78.7","5.6","61.9%"
"65","Ray-Ray McCloud III (ATL)","62","87","686","11.1","60","8","1","10","79","0","2","17","78.5","4.6","12.4%"
"66","Michael Wilson (ARI)","47","71","548","11.7","41","10","4","1","7","0","1","16","77.5","4.8","32.6%"
"67","Christian Watson (GB)","29","53","620","21.4","60","12","2","4","23","0","1","15","76.3","5.1","36.0%"
"68","Xavier Legette (CAR)","49","84","497","10.1","35","7","4","6","24","0","0","16","76.1","4.8","43.8%"
"69","Jalen Nailor (MIN)","28","42","414","14.8","33","8","6","3","-4","0","1","17","75.0","4.4","11.9%"
"70","Stefon Diggs (NE)","47","64","496","10.6","49","5","3","3","8","1","0","8","74.9","9.4","64.8%"
"71","KaVontae Turpin (DAL)","31","52","420","13.5","64","6","2","16","92","0","1","17","73.2","4.3","17.1%"
"72","Tyler Lockett (TEN)","49","74","600","12.2","37","7","2","0","0","0","0","17","72.0","4.2","29.2%"
"73","Dontayvion Wicks (GB)","39","76","415","10.6","36","4","5","0","0","0","0","17","71.5","4.2","35.5%"
"74","Darius Slayton (NYG)","39","71","573","14.7","43","9","2","2","17","0","0","16","71.0","4.4","28.1%"
"75","Joshua Palmer (BUF)","39","65","584","15.0","45","10","1","0","0","0","0","15","68.4","4.6","36.9%"
"76","Mack Hollins (NE)","31","50","378","12.2","44","4","5","0","0","0","0","17","67.8","4.0","5.2%"
"77","Olamide Zaccheaus (CHI)","45","64","506","11.2","49","5","3","1","8","0","1","17","67.4","4.0","9.9%"
"78","Marquez Valdes-Scantling (SEA)","19","44","411","21.6","71","8","4","1","4","0","0","14","65.5","4.7","12.4%"
"79","Devaughn Vele (DEN)","41","55","475","11.6","37","7","3","0","0","0","0","13","65.5","5.0","20.1%"
"80","Parker Washington (JAC)","32","51","390","12.2","30","6","3","0","0","0","0","17","65.0","3.8","9.5%"
"81","Ricky Pearsall (SF)","31","46","400","12.9","46","5","3","3","45","0","0","11","62.5","5.7","78.8%"
"82","Jalen Coker (CAR)","32","46","478","14.9","83","6","2","0","0","0","0","11","60.6","5.5","28.6%"
"83","Elijah Moore (FA)","61","102","538","8.8","44","5","1","1","1","0","0","17","59.9","3.5","8.5%"
"84","Rashid Shaheed (NO)","20","41","349","17.5","70","5","3","6","29","0","1","6","59.8","10.0","82.3%"
"85","Tim Patrick (DET)","33","44","394","11.9","42","6","3","0","0","0","0","16","59.4","3.7","6.9%"
"86","Tutu Atwell (LAR)","42","62","562","13.4","50","10","0","2","7","0","0","17","56.9","3.3","20.3%"
"87","Diontae Johnson (FA)","33","67","375","11.4","39","5","3","2","6","0","0","12","56.1","4.7","31.0%"
"88","Greg Dortch (ARI)","37","50","342","9.2","39","2","3","5","31","0","1","17","53.3","3.1","8.5%"
"89","David Moore (CAR)","32","57","351","11.0","21","2","3","1","0","0","0","17","53.1","3.1","0.6%"
"90","Cedric Tillman (CLE)","29","49","339","11.7","38","6","3","1","-5","0","1","11","51.4","4.7","55.2%"
"91","Noah Brown (WAS)","35","56","453","12.9","52","4","1","0","0","0","0","11","51.3","4.7","6.6%"
"92","Sterling Shepard (TB)","32","51","334","10.4","30","4","1","8","69","0","0","14","48.3","3.5","0.7%"
"93","Chris Olave (NO)","32","44","400","12.5","39","4","1","1","7","0","1","8","44.7","5.6","66.5%"
"94","Christian Kirk (HOU)","27","47","379","14.0","61","7","1","0","0","0","0","8","43.9","5.5","79.4%"
