"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"245","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"247","Ajou Ajou (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8%"
"248","Louis Rees-Zammit (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"249","Shedrick Jackson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"250","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Jason Brownlee (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","T.J. Luther (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"253","Ontaria Wilson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"254","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"255","Elijah Cooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","3.1%"
"256","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"257","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"258","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"259","Jeff Foreman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Julian Hicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Cole Burgess (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"262","David White Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"263","JaQuae Jackson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Jaylen Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"265","Terique Owens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Qadir Ismail (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Tanner Knue (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","John Jackson III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Erik Ezukanma (MIA)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"271","Samori Toure (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"272","Skyy Moore (KC)","0","3","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.2%"
"273","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Kyle Philips (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"275","Jalen Virgil (BUF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","3.1%"
"276","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Danny Gray (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"278","Xavier Weaver (ARI)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"279","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"280","Michael Strachan (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.8%"
"282","Makai Polk (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"284","Cornelius Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"285","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"286","Dennis Houston (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"287","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.1%"
"288","Tetairoa McMillan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.0%"
"289","Antoine Green (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"290","Colton Dowell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"292","Maurice Alexander (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.4%"
"293","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","2.3%"
"294","Jesse Matthews (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"296","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"297","Mitchell Tinsley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Lance McCutcheon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Kaden Davis (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"300","Tyreik McAllister (LV)","0","0","0","0","0","0","0","2","11","0","0","2","0.0","0.0","1.0%"
"301","Montrell Washington (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"302","Dareke Young (SEA)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.1%"
"303","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Jordan Matthews (CAR)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"305","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"306","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"309","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Zach Pascal (NYG)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.1%"
"316","Michael Gallup (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"317","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"318","Jamal Agnew (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"319","Braxton Berrios (HOU)","0","4","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.9%"
"320","Kelvin Harmon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"321","Cody Thompson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"322","David Sills (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Russell Gage Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Equanimeous St. Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"325","Keith Kirkwood (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Phillip Dorsett II (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"328","Alex Erickson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"329","Chris Moore (WAS)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"330","Jermaine Jackson (FA)","0","0","0","0","0","0","0","1","-1","0","0","4","-0.1","0.0","0.0%"
"331","Velus Jones Jr. (NO)","1","1","8","8.0","8","0","0","3","11","0","1","2","-0.1","-0.1","0.1%"
"332","Brycen Tremayne (CAR)","1","1","-2","-2.0","0","0","0","0","0","0","0","2","-0.2","-0.1","0.0%"
"333","Steven Sims Jr. (SEA)","0","0","0","0","0","0","0","1","0","0","1","9","-2.0","-0.2","0.1%"
"334","Kadarius Toney (FA)","0","1","0","0","0","0","0","2","-4","0","1","3","-2.4","-0.8","0.6%"
"335","Jha'Quan Jackson (TEN)","1","3","8","8.0","8","0","0","1","-5","0","2","12","-3.7","-0.3","0.1%"
"336","Dee Williams (NYG)","0","0","0","0","0","0","0","0","0","0","3","13","-6.0","-0.5","0.0%"
""
""
