"Player","Team","REC(Recieving)","YDS(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","FPTS"
"Demarcus Robinson","SF","45.8","587.1","4.4","0.3","7.8","0.0","0.6","84.6"
"Josh Downs","IND","54.9","626.5","3.3","0.0","5.3","0.0","0.5","81.9"
"Rashod Bateman","BAL","46.2","604.9","3.5","0.3","4.5","0.0","0.2","81.5"
"Wan'Dale Robinson","NYG","61.1","567.6","2.8","8.1","58.1","0.5","0.5","81.0"
"Darius Slayton","NYG","43.4","612.3","3.2","0.0","1.3","0.0","0.1","80.3"
"Xavier Legette","CAR","45.6","593.3","3.0","2.8","17.2","0.1","0.4","78.9"
"Josh Reynolds","NYJ","41.0","532.4","3.6","0.0","1.5","0.0","0.5","74.2"
"Marvin Mims Jr.","DEN","41.2","541.1","2.6","3.9","23.5","0.1","0.3","72.2"
"Jalen McMillan","TB","43.9","524.2","3.3","0.7","7.5","0.0","0.8","71.5"
"Quentin Johnston","LAC","40.6","504.7","3.2","1.7","6.8","0.0","0.1","70.2"
"Jalin Hyatt","NYG","43.2","539.7","2.5","0.0","1.0","0.0","0.3","68.6"
"Kendrick Bourne","NE","39.1","471.3","3.1","2.8","17.1","0.0","0.5","66.8"
"Tim Patrick","DET","38.0","467.0","3.0","0.0","9.0","0.0","0.0","65.6"
"Roman Wilson","PIT","37.0","480.0","2.8","0.7","10.0","0.0","0.4","65.0"
"Jalen Tolbert","DAL","37.5","464.3","3.0","0.0","2.3","0.0","0.2","64.3"
"Jahan Dotson","PHI","35.5","435.7","3.5","0.0","2.0","0.0","0.4","63.7"
"Andrei Iosivas","CIN","36.3","424.0","3.2","0.0","3.3","0.0","0.2","61.7"
"Jermaine Burton","CIN","34.9","442.6","2.9","0.7","4.3","0.0","0.4","61.6"
"Tre Tucker","LV","35.0","424.4","2.4","6.1","39.9","0.2","0.3","61.5"
"Ray-Ray McCloud III","ATL","36.5","374.2","2.8","6.9","46.7","0.2","0.2","59.6"
"Greg Dortch","ARI","40.9","424.1","2.5","3.2","21.2","0.1","0.1","59.6"
"Troy Franklin","DEN","35.6","443.3","2.5","0.0","2.5","0.0","0.1","59.4"
"Ricky Pearsall","SF","32.2","393.9","3.0","2.4","15.3","0.1","0.1","59.4"
"Noah Brown","WAS","33.9","466.2","2.1","0.3","0.8","0.0","0.1","58.9"
"Malachi Corley","NYJ","35.2","404.2","2.5","3.6","24.7","0.1","0.7","56.9"
"Luke McCaffrey","WAS","35.9","422.7","2.1","0.7","9.3","0.0","0.4","55.2"
"Dyami Brown","JAC","29.7","403.2","2.4","0.0","2.8","0.0","0.1","54.8"
"Jonathan Mingo","DAL","36.0","422.8","2.1","0.0","3.0","0.0","0.1","54.7"
"Trey Palmer","TB","29.4","344.0","2.3","3.8","21.4","0.1","0.5","49.7"
"Kalif Raymond","DET","28.9","356.9","1.9","2.2","24.6","0.1","0.2","49.6"
"Cedrick Wilson Jr.","NO","26.6","330.3","2.7","0.3","2.3","0.0","0.1","49.4"
"Alec Pierce","IND","24.1","362.6","2.0","0.0","1.3","0.0","0.1","48.4"
"Treylon Burks","TEN","27.0","358.0","1.8","1.8","18.7","0.1","0.6","47.4"
"A.T. Perry","DEN","21.8","318.1","2.4","0.3","1.8","0.0","0.0","46.6"
"KaVontae Turpin","DAL","18.7","220.3","2.6","8.7","67.2","0.4","0.4","46.2"
"Jalen Nailor","MIN","27.5","341.5","1.7","0.0","0.3","0.0","0.1","44.2"
