"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"58","Tyler Higbee (LAR)","8","12","66","8.3","17","0","2","0","0","0","0","3","18.6","6.2","29.4%"
"59","Kylen Granson (PHI)","14","31","182","13.0","40","3","0","0","0","0","0","17","18.2","1.1","2.2%"
"60","Drew Ogletree (IND)","9","14","109","12.1","22","3","1","0","0","0","0","17","16.9","1.0","0.6%"
"61","Drew Sample (CIN)","20","22","109","5.5","12","0","1","1","-4","0","0","17","16.5","1.0","0.8%"
"62","Erick All Jr. (CIN)","20","22","158","7.9","28","1","0","0","0","0","0","9","15.8","1.8","4.5%"
"63","Eric Saubert (SEA)","11","14","97","8.8","17","0","1","0","0","0","0","17","15.7","0.9","1.0%"
"64","Michael Mayer (LV)","21","32","156","7.4","29","1","0","0","0","0","0","11","15.6","1.4","25.2%"
"65","Lucas Krull (DEN)","19","23","152","8.0","23","1","0","0","0","0","0","13","15.2","1.2","1.0%"
"66","Daniel Bellinger (NYG)","14","17","125","8.9","17","0","0","0","0","0","0","17","12.5","0.7","3.1%"
"67","Blake Whiteheart (CLE)","6","9","51","8.5","29","1","1","0","0","0","0","11","11.1","1.0","0.1%"
"68","Kenny Yeboah (DET)","5","8","47","9.4","13","0","1","0","0","0","0","9","10.7","1.2","6.0%"
"69","Jeremy Ruckert (NYJ)","18","28","105","5.8","12","0","0","0","0","0","0","17","10.5","0.6","2.0%"
"70","Julian Hill (MIA)","12","19","100","8.3","17","0","0","0","0","0","0","16","10.0","0.6","0.6%"
"71","MyCole Pruitt (FA)","6","10","40","6.7","18","0","1","0","0","0","0","12","10.0","0.8","0.6%"
"72","Connor Heyward (PIT)","6","8","40","6.7","16","0","1","0","0","0","0","17","10.0","0.6","0.1%"
"73","Quintin Morris (FA)","5","8","36","7.2","14","0","1","0","0","0","0","16","9.6","0.6","0.0%"
"74","Chris Manhertz (NYG)","3","4","30","10.0","16","0","1","0","0","0","0","17","9.0","0.5","0.1%"
"75","Devin Culp (TB)","5","6","88","17.6","26","2","0","0","0","0","0","5","8.8","1.8","1.3%"
"76","Brevyn Spann-Ford (DAL)","9","14","88","9.8","18","0","0","0","0","0","0","17","8.8","0.5","0.1%"
"77","Ben Sinnott (WAS)","5","5","28","5.6","12","0","1","0","0","0","0","17","8.8","0.5","25.9%"
"78","Harrison Bryant (PHI)","9","12","86","9.6","18","0","0","0","0","0","0","13","8.6","0.7","0.1%"
"79","Hayden Hurst (FA)","8","13","73","9.1","27","1","0","0","0","0","0","9","7.3","0.8","3.1%"
"80","Luke Farrell (SF)","12","17","67","5.6","11","0","0","0","0","0","0","17","6.7","0.4","0.1%"
"81","E.J. Jenkins (PHI)","1","2","7","7.0","7","0","1","0","0","0","0","8","6.7","0.8","1.0%"
"82","John Bates (WAS)","8","13","84","10.5","20","1","0","0","0","0","1","17","6.4","0.4","0.6%"
"83","Hunter Long (JAC)","7","9","60","8.6","18","0","0","0","0","0","0","17","6.0","0.4","0.1%"
"84","Durham Smythe (CHI)","9","17","53","5.9","8","0","0","0","0","0","0","17","5.3","0.3","0.1%"
"85","Peyton Hendershot (FA)","5","5","51","10.2","15","0","0","0","0","0","0","7","5.1","0.7","0.0%"
"86","Charlie Woerner (ATL)","7","12","46","6.6","13","0","0","0","0","0","0","16","4.6","0.3","0.1%"
"87","Luke Musgrave (GB)","7","10","45","6.4","19","0","0","0","0","0","0","7","4.5","0.6","18.6%"
"88","Pharaoh Brown (MIA)","8","12","65","8.1","17","0","0","0","0","0","1","15","4.5","0.3","0.1%"
"89","Ben Sims (GB)","4","5","42","10.5","28","1","0","0","0","0","0","17","4.2","0.2","0.1%"
"90","Davis Allen (LAR)","6","13","39","6.5","13","0","0","0","0","0","0","14","3.9","0.3","1.3%"
"91","Tucker Fisk (LAC)","7","8","39","5.6","10","0","0","0","0","0","0","9","3.9","0.4","0.6%"
"92","Tip Reiman (ARI)","6","7","37","6.2","14","0","0","0","0","0","0","17","3.7","0.2","0.1%"
"93","Gerald Everett (FA)","8","13","36","4.5","17","0","0","0","0","0","0","17","3.6","0.2","1.2%"
